gene_name,Kruskal-Wallis H,KW p_value,ANOVA F,F p_value,On ratio
XYLT2,25.918658698646745,0.0010844930065530309,2.2220614001378634,0.0254658345534779,0.23011363636363635
RPL10A,15.466696480097976,0.050681359697095696,2.2220408332675854,0.02546723877848286,0.7443181818181818
TTC32,21.39208242304911,0.006175695765992771,2.221930740967129,0.02547475669587217,0.05113636363636364
DMTF1,17.643213120440898,0.02406634735047637,2.221129394023723,0.025529542019323163,0.24431818181818182
CDCA4,14.578948109695448,0.06786850833401468,2.22074873470541,0.025555605491632626,0.09375
AC016747.3,19.678104127894258,0.011624968641738584,2.2204901252202593,0.02557332668472616,0.08238636363636363
SNRPD3,13.483979913063632,0.09624695397880303,2.220478913385908,0.025574095238105835,0.48295454545454547
SMC3,19.251756752023468,0.013569712210409658,2.2203579126450026,0.025582391039320963,0.38636363636363635
ZNHIT1,16.735884778750542,0.0329798540044503,2.220271102818543,0.025588344285494273,0.4630681818181818
PHB,10.593889107323994,0.22578825075775882,2.219446120418756,0.025644985519481363,0.4431818181818182
ATAD1,17.645486270206128,0.02404717161893403,2.218680347367873,0.025697667917003578,0.19318181818181818
ZNF24,19.883238229020805,0.010786941507218544,2.2183072155794945,0.025723375175865218,0.20170454545454544
DEF6,20.503163534773346,0.008591140140962239,2.2181181034395445,0.025736413536060366,0.29545454545454547
HNRNPU,15.180160252832014,0.055735583224362825,2.217863362022681,0.02575398661597134,0.5170454545454546
HDGFRP3,21.88069580395523,0.005141738739468063,2.2168421014610606,0.025824551487649405,0.19886363636363635
WIPI2,17.660827311271536,0.023918133843686518,2.2161504250260764,0.025872447488626726,0.09375
AAK1,17.92530027770824,0.021793546712179517,2.2160360336633635,0.025880376769178697,0.33238636363636365
PPP1R15A,15.958908327614251,0.04297205056519345,2.214823622902615,0.025964559261059214,0.08806818181818182
PSMD6,12.571775795256771,0.12745753331807344,2.214093320431579,0.026015392202547043,0.4602272727272727
RPA1,18.902501944003287,0.01538985428100071,2.213711217388651,0.02604202616882296,0.29261363636363635
ABHD6,19.56228128878829,0.012125221316170666,2.213496197298864,0.026057025205069206,0.05965909090909091
OTUD5-1,18.879733081765075,0.015516237674378146,2.213485182633832,0.026057793769233704,0.13352272727272727
ERAP2,18.389975244777872,0.018485456249428628,2.2133009149433067,0.026070654499039433,0.5568181818181818
PPM1K,17.4148478145204,0.02606779766280395,2.2130673210747736,0.026086966530705007,0.21875
TFB1M,16.729887053366348,0.03304791964631363,2.212024893733337,0.026159877924219695,0.08238636363636363
SH3BP1,28.57059911441039,0.00037707249891503634,2.2116858808410504,0.02618363136658318,0.07670454545454546
ADI1,22.72144740106248,0.003740902985813819,2.2115363251208064,0.026194116704204438,0.21022727272727273
BABAM1,15.108250272223907,0.05707446526565735,2.2097363112475943,0.026320627937684547,0.36363636363636365
SNHG1,24.056549335901646,0.002242285151259472,2.2093620173281323,0.026347007201710577,0.08238636363636363
SUOX,24.682933582302052,0.0017589233017544976,2.209229182199342,0.02635637509587678,0.0625
SF3B2,16.23717025255956,0.0391085740149722,2.2091281411732537,0.02636350289598348,0.4602272727272727
MST4,15.61681625935659,0.048204788482827714,2.208676316592995,0.02639539858102894,0.20170454545454544
RNF25,21.28448151697817,0.006428916737374651,2.2074470536693136,0.026482361110053906,0.11079545454545454
TMTC3,16.39039825392856,0.037121218929142046,2.2070051324375775,0.026513690479430436,0.16193181818181818
PLEKHF2,23.7624847951511,0.0025115684579787123,2.206846568231328,0.026524940214519364,0.07954545454545454
CWC27,20.805890436828413,0.007681333692685253,2.206741672160316,0.026532384813350112,0.13352272727272727
EIF4G1,28.960433873861295,0.0003222076914008833,2.206294880905165,0.026564116288247556,0.1534090909090909
CSNK1G3,15.070351362070053,0.05779187094928516,2.2061043103509834,0.02657766169278982,0.14488636363636365
ACAD9,33.065149339428714,5.9945617854952364e-05,2.2055048458317095,0.026620313187790467,0.06818181818181818
TMEM147,22.432300979404722,0.004174940296728513,2.205400182185296,0.026627766578254913,0.20454545454545456
C6orf1,17.37989646457347,0.026387580001452957,2.2051946093510204,0.026642411746382773,0.20170454545454544
MBP,18.944281418770633,0.01516048787797084,2.2040858514416932,0.026721532111809613,0.16477272727272727
PXK,20.48694193062012,0.008642701706351539,2.2031860380583037,0.026785905791852294,0.16761363636363635
FASTKD5,14.418748513588639,0.07148293200574717,2.202378394550446,0.026843810544721396,0.08806818181818182
SERBP1,16.116270118282234,0.040745842685277624,2.2021999859066894,0.026856617689351537,0.5596590909090909
