,TPM_p,UMI_p,TPM_logp,UMI_logp
SIRT3,0.02862331031332109,0.035222922505291875,1.5432801410978125,1.4531746127280507
TBC1D3H,0.02862790507806828,0.023825493041437378,1.5432104314517905,1.6229581033670737
PRPSAP1,0.02868412996562706,0.05929336155227475,1.542358318410356,1.2269939272529584
SCARNA17-1,0.028726970131076036,0.03160494386985254,1.5417101771665827,1.5002449766393338
HNRNPAB,0.028737743279224008,0.009172607745262384,1.541547339189308,2.0375071781385907
RP11-514O12.4,0.028764922839290507,0.05298279495253204,1.5411367866138095,1.2758651354981085
RPL13AP5,0.02876709167260854,0.002113917840730648,1.541104042676347,2.6749118959362086
ORMDL1,0.02888336979637038,0.0879353066438084,1.539352139405937,1.055836717623403
SCD,0.028949473305940863,0.014613167012839528,1.5383593332285768,1.8352556521596641
VPS18,0.029012699857926108,0.06365852172208564,1.5374118548291575,1.196143450782487
PCID2,0.029032853258522003,0.02749847382302224,1.5371102809599406,1.5606914090291057
SEPT8,0.029043476298467704,0.02604119945666944,1.53695140288634,1.5843390160556154
FUOM,0.02905550276437056,0.02742411559785947,1.5367716053085767,1.5618673691192544
GSDMB,0.029083502673257083,0.21345507378051035,1.5363532903831036,0.6706935176523076
LINC00657,0.0292231668920876,0.01769035254335675,1.5342727216928862,1.7522635121378263
RPS2P55,0.029228022748089104,0.06884430658843627,1.5342005633164972,1.1621319699962371
AC018766.5,0.029273222578762154,0.03945188780559999,1.53352946509147,1.4039322106056613
IFT172,0.029281975546241255,0.059394669846047146,1.5333996263879393,1.2262525274146887
POLD4,0.02931599665843426,0.05127486190618297,1.5328953364817235,1.29009550060296
RP11-676M6.1,0.02940659882546115,0.015017082478597971,1.531555203196176,1.823414433944395
RP11-234A1.1,0.02943039452545375,0.010149560917870504,1.5312039159812898,1.993552745442457
FGD3,0.02946462955629711,0.0031930881559519915,1.5306990146966908,2.49578909113328
PPM1N,0.02949780506965901,0.0046538477882658875,1.5302102986523411,2.3321878251312023
VAMP3,0.029509074156577532,0.016588567357288295,1.530044416220039,1.7801911194422206
KCNAB2,0.029525965827453142,0.008619084746562878,1.5297958872225628,2.064538849096526
BZW2,0.029530003797488512,0.07676988567630702,1.5297364971856768,1.1148091061325813
CMC2,0.029561858841495772,0.03026829528302416,1.529268261101877,1.5190120379143797
NPIPB15,0.02957022008911357,0.059589278478292575,1.5291454430379054,1.2248318730882721
RASGRP3,0.029570983794978568,0.03492077466552762,1.5291342267209824,1.4569161306814649
VAMP7,0.02959268691283863,0.017399578033266718,1.528815600623692,1.7594612839039483
POC5,0.029654943610437825,0.008005202138102787,1.5279028974508782,2.096627697304424
FBXO41,0.02967614435492751,0.021188166404941755,1.5275925250288735,1.673906624915967
IKBKGP1,0.029813927715257885,0.0060861234281903796,1.5255808058292553,2.215659244281756
FAM13A,0.029933707256603267,0.03618193368007661,1.5238394929365953,1.4415082267480077
SEPT1,0.03000328310617285,0.022382238124596998,1.522831220050984,1.650096488113184
TIMELESS,0.03010107677537463,0.020574950206441137,1.521417968551034,1.6866612071530689
POLR3A,0.030241927135564096,0.09686285665823814,1.51939053732182,1.0138427269824888
MAPK13,0.03029047234807429,0.08575401865386743,1.518693954248434,1.0667455186519028
NOP16,0.030307406313309502,0.01290032961286789,1.5184512286609286,1.889399193016961
CAPZB,0.030347036810242242,0.022857321584754828,1.517883708535581,1.6409746614784244
OAT,0.030377861545392203,0.03585001122476122,1.5174428016293835,1.4455107040170712
WDFY2,0.030392342477579937,0.05767227414379719,1.5172358255574057,1.2390329230709936
MT-RNR1,0.030402671720735117,0.0004844302659483562,1.517088249858745,3.3147687310869123
HSPB1,0.030556800455452164,0.009995942428933863,1.5148921218662257,2.0001762538329366
MRPL4,0.030590568962484226,0.011219026268437555,1.5144124453765708,1.9500448351115554
PIK3C2A,0.030663044721338323,0.04609682714666789,1.513384723583924,1.3363289661529831
USP22,0.030741386787310452,0.02503437075850058,1.5122765447578228,1.6014633201646273
RAB38,0.0307484224205809,0.04971319559896707,1.512177161241798,1.3035283192108007
RNF122,0.030762642380566523,0.04734079836714179,1.5119763632135206,1.3247644222937007
DANCR,0.03076464781670135,0.043348235331813686,1.5119480522040587,1.3630285775708144
DSN1,0.030771609368018173,0.1378692212794335,1.511849789375814,0.8605326774097728
RP11-212D19.4,0.030819538258236048,0.02144403507450265,1.511173872217286,1.6686934911011564
PPP3CC,0.030822530681563383,0.009724694758418521,1.51113170643791,2.01212402155135
CYFIP1,0.030841353127998895,0.03065516283636404,1.5108665760448263,1.5134963726130304
APEX1,0.03096712303016081,0.030093641185976305,1.5090991404670273,1.5215252615352421
RPL9P8,0.031004754100186206,0.033835363884525,1.5085717087084423,1.4706291485083838
CTD-2583P5.1,0.031027878836352094,0.02424012957547177,1.5082479131414281,1.6154650629809175
ADAM17,0.03117325939454035,0.055444207376606526,1.5062177866529576,1.256143820764363
LINC00341,0.031193362987185596,0.014687549386643036,1.505937801002902,1.833050660073687
ASB1,0.031218617904504514,0.016996024306203898,1.5055863277224688,1.7696526564926973
SIGMAR1,0.0312356465111853,0.008628519319761366,1.5053495006565056,2.064063724149069
GUSBP11,0.03136302196812439,0.016679853728598818,1.503582097746212,1.7778077621599664
IQGAP2,0.03143209016697974,0.14475666800619302,1.5026267383650724,0.8393614219936406
PRIM1,0.03144446791635264,0.01139487666113422,1.502455749733241,1.9432903712891088
RP11-219B17.1,0.031518813316589345,0.039882439513150056,1.5014301420631528,1.3992182847962793
TSNAX-DISC1,0.03155467653614906,0.11354933867617717,1.5009362673759294,0.9448153908156539
MPP6,0.03158428395010681,0.01835863550677545,1.5005289645838427,1.736159600580281
FAM208B,0.031593790311009985,0.03366877746829422,1.500398268605446,1.4727726527955465
RAB3D,0.03163015669147426,0.03034021919461221,1.4998986566434274,1.5179812859531554
RNPC3,0.031674713692356214,0.06186949841521205,1.4992873020133224,1.208523404852613
C1orf216,0.031686991398242464,0.05787436090843924,1.4991189940432026,1.2375137917488628
FBXL12,0.03169881141011034,0.048673148251188035,1.4989570219370743,1.3127105620388195
ACTR6,0.03175330817125847,0.03880959868770509,1.4982110216892073,1.411060848077205
HSPA1A,0.03176228911749048,0.01189559333858645,1.498088205386336,1.924613890974558
ARGLU1,0.03176909537517144,0.14414772858334815,1.4979951515299417,0.8411921966437241
GSPT1,0.03183361234782558,0.0049113950392283365,1.497114076625236,2.3087951327677807
RP11-295K3.1,0.031837343646502356,0.02712720801746787,1.4970631748474252,1.5665949023314263
MYBBP1A,0.03187017435087073,0.1272500873519877,1.4966155606425537,0.8953419108656774
TESC,0.03204207224808713,0.02269272257673088,1.4942794046724714,1.6441133961768415
STAG3L2,0.03205804245557736,0.11320315133999502,1.4940630002818263,0.9461414831254802
APRT,0.03209335090510822,0.009103313045973055,1.4935849353313737,2.0408005224340235
HLTF,0.032185571469727656,0.04618365604347704,1.4923387753668917,1.3355116899407478
MSH3,0.032215811346720524,0.05971408470518563,1.4919309265878038,1.2239232201555599
SLC37A3,0.03222138235338069,0.02013181979702087,1.4918558315280022,1.6961169656934219
SAP30L,0.03225332940595365,0.2316799994700169,1.4914254479123987,0.6351114564764241
AC159540.1,0.03226614051108799,0.017284071135842568,1.4912529792809237,1.7623539549365816
MKKS,0.03233284125539873,0.05269771417022084,1.490356129990259,1.2782082224494964
GNG5,0.032454054254085686,0.027100515399937488,1.4887310421549926,1.567022449597168
ELMO1,0.032508833060231494,0.051718237295604035,1.4879986196948316,1.2863562855286508
ZNF10,0.032521208080369166,0.007269269673247615,1.4878333298401785,2.1385092195138684
MTSS1,0.03254652265442401,0.026706333057335933,1.4874954056416771,1.5733857391703796
NEK1,0.03255387768552748,0.009810587344794612,1.48739727262193,2.008304991298188
