gene_name,total variance,interclonal variance,intraclonal variance,ANOVA F,p
PAX8-AS1,1526.721,241.78948581285658,1284.9314066171646,8.067920319201063,5.465127916150257e-10
LINC00861,1109.5066,174.42131067067385,935.0853254199028,7.997466639364683,6.782938467292515e-10
SOCS2,2906.791,456.5614672170195,2450.2294087409973,7.9890776092627105,6.959728301164453e-10
TC2N,1761.9689,275.86497899051756,1486.1038353443146,7.958872518136046,7.635406977546613e-10
GOLIM4,773.3517,120.89990563527681,652.4517734050751,7.944776404024367,7.972866826375709e-10
CORO1A,3122.0483,487.8983845114708,2634.1500248908997,7.941325679351051,8.057730185459647e-10
GNPTAB,2740.5496,425.5021150477696,2315.0474491119385,7.880358214546042,9.715688006139475e-10
IFI6,525.2494,81.46945819305256,443.77995279431343,7.871024813160257,9.998086240454642e-10
CREM,2815.4573,434.4744294397533,2380.9828050136566,7.823698316092029,1.156180806284858e-09
MT-TF,1253.445,193.38979854993522,1060.0551680326462,7.821845374535375,1.1627786627203367e-09
ISG15,3245.1628,497.26701039634645,2747.8959765434265,7.758780991979963,1.4113233932659018e-09
KIAA0319L,1851.6097,282.1119952384688,1569.4978737831116,7.70663789858745,1.6565894952750308e-09
IDH2,2261.4841,342.0090712197125,1919.474922657013,7.63940114843865,2.0369642309534783e-09
USP18,721.75604,109.01333124935627,612.7427657842636,7.62790984783616,2.1102291329827112e-09
CDKN2B,1761.4148,265.87554723769426,1495.539129793644,7.622277385272456,2.1470986004586395e-09
FAIM3,2184.2861,329.4683684713673,1854.817500591278,7.615820043592864,2.1901626365119464e-09
PHLDA1,1256.7571,188.14741908106953,1068.6096827983856,7.5488934107130135,2.6908188076444687e-09
SOX4,846.47754,126.60359994089231,719.8738271323964,7.5403899167839,2.7621491740910023e-09
MPZL2,883.92993,131.61492256447673,752.3149212002754,7.500834618498424,3.119682221598673e-09
LY6E,2890.4268,426.82381521817297,2463.602846801281,7.428174188562823,3.901667191306041e-09
CLIC3,1312.3453,193.48111049598083,1118.864054709673,7.414218534947686,4.0729815137383626e-09
CTSW,1537.4751,225.7257863287814,1311.749372601509,7.3779285060016875,4.554581956044747e-09
ZWINT,1366.0852,199.28608670830727,1166.7991585482378,7.322932061632466,5.39539051749387e-09
SUPT3H,2200.6519,319.17897142260335,1881.4728915691376,7.273449679272857,6.284054284747709e-09
LYAR,1954.499,282.8604341223836,1671.638548731804,7.254942237481832,6.652901323953833e-09
WSB2,1799.0833,260.2904732073657,1538.7927420139313,7.252408809882969,6.7050515637321405e-09
RNF19A,2591.997,373.6401579107478,2218.3567881584167,7.221481168375206,7.375696315785417e-09
MT-ND4,101.19003,14.540612260545458,86.6494160592556,7.194840762049129,8.007007887068119e-09
TPI1P1,357.78302,51.039609437808394,306.74343633651733,7.134050791050353,9.657759549752378e-09
DESI1,1218.7292,173.1591874230653,1045.5700349211693,7.100624456326995,1.0706542830136791e-08
MT-TC,471.2971,66.86994170770049,404.4271381497383,7.089160148437268,1.1091921018939533e-08
ANXA2P2,294.59442,41.75253699469147,252.84188729524612,7.0800769714119065,1.1407096682028787e-08
HLA-G,206.7136,29.27533291639901,177.43825748562813,7.0738966701827115,1.162665835783552e-08
RP11-291B21.2,556.307,77.81227571645286,478.49472284317017,6.9722844622392595,1.5908114671250558e-08
RP11-673C5.1,410.87598,57.46198053844273,353.41397911310196,6.971094979797864,1.5966621093694842e-08
