gene_name,total variance,interclonal variance,intraclonal variance,ANOVA F,p
RPL8,3439.8125,193.54603579640388,3246.2663235664368,2.556255543338814,0.010200364524348785
DHRS7B,812.0385,45.53009504475631,766.5083753578365,2.546746895143328,0.010474359692438274
RAB14,1661.3448,92.78059990471229,1568.5644617080688,2.5360565778615056,0.010790877038863599
MPHOSPH10,1321.1338,73.61215671504033,1247.5215229988098,2.5299132407516507,0.010976916997844225
RPS29,426.06387,23.543297808151692,402.5205270498991,2.5077451351924958,0.011674263887282864
APOL6,639.5096,35.25072009814903,604.2589042782784,2.5012037282484276,0.011888058301831959
PMVK,1407.0608,77.5228134971112,1329.5378613471985,2.499959365821069,0.01192915235905899
ITM2B,2188.775,120.18962723016739,2068.5852996110916,2.4911374302342044,0.012224433015366219
SLC25A1,678.2387,37.21422074036673,641.0244836509228,2.4890776482604737,0.012294381849490462
ANKRD36C,1337.7166,73.08294624957489,1264.633457183838,2.4777387492406198,0.012686386908306547
BPNT1,579.6509,31.640261998632923,548.0106350779533,2.475456033802002,0.012766744155142415
TUBGCP3,748.84827,40.866592060774565,707.9816509336233,2.474859528202635,0.012787823112103627
CSNK1G2,915.4085,49.943094386952,865.465390779078,2.4741719249027323,0.01281216272335391
FAM178A,1158.8882,63.03511312324554,1095.853150844574,2.466234160184907,0.013096384519735464
CCNH,2515.7515,136.7770654649621,2378.9746046066284,2.4650606485897884,0.01313891417233223
GLTP,2010.7998,109.28572397865355,1901.514193534851,2.4641548464460055,0.013171832362465606
MRPL48,1682.6057,91.43424717150629,1591.1715199947357,2.46374655291172,0.013186696242412439
C7orf55,1142.8201,62.03303888626397,1080.7870293855667,2.460860900376092,0.01329220834566179
TMC8,1220.9199,66.25923562289972,1154.6605932712555,2.4603461345150826,0.013311115467562619
ZNF91,637.3157,34.50986947119236,602.8057603240013,2.4545396725839157,0.013526180846044724
DIMT1,1800.4707,97.46727805328555,1703.0032231807709,2.4538471152917096,0.013552054059616866
PCNP,2435.0322,131.4582699611783,2303.573844909668,2.4467517449203107,0.01381988120742196
ATF1,1114.8608,60.06975386152044,1054.7911976575851,2.4417066643447334,0.014013399174671171
RBM4,581.1131,31.303969519212842,549.8090708851814,2.441134139484829,0.014035523523958753
L3MBTL3,259.7859,13.97317882392963,245.81271160021424,2.4372215666793884,0.014187618528658495
ZNF761,587.5103,31.458926187362522,556.0513760969043,2.425677766955314,0.014645634554183743
RNF216P1,634.947,33.995376127946656,600.9516843557358,2.425405884415342,0.014656590938220417
MRTO4,639.7108,34.18341306876391,605.5273569263518,2.4203924373668064,0.014860038025770973
ENOPH1,801.115,42.751812163274735,758.3631421327591,2.4170266784662933,0.014998137285845628
FAM206A,854.7427,45.562416261062026,809.1801575422287,2.4141578102044448,0.015116819104634903
C1orf27,768.16315,40.9302912959829,727.232839345932,2.4131009277490807,0.0151607675646019
NUDT16L1,2320.1162,123.61407287418842,2196.501907348633,2.41290633836887,0.015168872531677268
NME1-NME2,424.4096,22.599733907962218,401.8099314570427,2.4114973659068744,0.015227682542251755
RSU1,2129.2217,113.28896851837635,2015.9329299926758,2.4094375626093045,0.015314051303637602
NFATC1,441.66504,23.469317394639802,418.1957773974864,2.4061624666735093,0.015452345127743421
RFFL,838.8054,44.51991187798558,794.2855101823807,2.4031550334216,0.015580389692554654
MRPL22,2090.5442,110.74302618205547,1979.8012011051178,2.398274758549117,0.015790337571439054
HNRNPUL1,1404.3914,74.34264955390245,1330.0488313436508,2.3964842677268696,0.01586804107608157
KIAA0226,1784.1292,94.43916980270296,1689.6900787353516,2.396344428039385,0.015874125211526695
PDAP1,1670.136,88.29099831893109,1581.8448598384857,2.3930770008069477,0.016016921630487388
GNL2,1841.1307,97.01916049234569,1744.1116108894348,2.3849944465354627,0.0163754557393601
FAH,1406.134,74.03492089360952,1332.0991572737694,2.3828911053512107,0.016470009840041794
HMOX1,944.32214,49.692203141748905,894.6300002783537,2.3814909057818174,0.016533244137601807
STK38L,913.41455,47.981873012147844,865.4325611293316,2.3771035408135104,0.016732889174721162
NAA15,822.151,42.97217979635752,779.1788364052773,2.3645819453578145,0.017315439002389375
MAP2K2,1116.3556,58.342551389709115,1058.0129882097244,2.3642780558549545,0.017329815247619805
PPP2R5A,1067.603,55.733164998702705,1011.8698277175426,2.361528512723288,0.017460408835981184
PPFIA1,657.8323,34.32376855285838,623.5085309147835,2.3602428896116177,0.01752179362115496
SSBP1,2655.4106,138.30576252378523,2517.1048545837402,2.3558254068791773,0.017734291277647345
KLRC3,994.3357,51.63225024193525,942.7034397125244,2.348281162311286,0.01810290294330331
USP4,1995.9626,103.52717921184376,1892.4354810714722,2.3455107733420064,0.018240092265940953
GSPT2-1,406.3468,21.075080876340508,385.27171667665243,2.345342399819762,0.01824846202760551
P4HA2,1336.814,69.32305681426078,1267.4909518361092,2.3449682671152905,0.018267073103793205
RIT1,2113.8972,109.49750360287726,2004.3997116088867,2.3422002307139764,0.018405332116572026
PNKD,2411.768,124.69152177125216,2287.076850414276,2.3375467225659894,0.018640021869303726
FPGS,1260.8495,65.09554674726678,1195.7539600133896,2.3340684288913507,0.018817304857561532
COX10,1008.4675,52.05700932792388,956.410461306572,2.333667776788672,0.01883782849601396
SPDYE2,417.79044,21.45456733671017,396.33583137393,2.320922060901393,0.0195019959179152
LINC00341,444.69742,22.807402450649533,421.8900295384228,2.317825290020373,0.019666706204656687
UBN1,489.83847,25.054195292759687,464.7841730117798,2.3111772851823127,0.02002478988386398
WBP4,1508.3917,77.0895097926259,1431.3021235466003,2.3092348414665262,0.020130584078459086
SS18L2,2907.6948,148.48817161656916,2759.206703186035,2.3073408565980698,0.0202342517488685
MSL2,567.092,28.956313622366764,538.1356439590454,2.307042769784376,0.020250613859207765
EIF6,2929.377,149.3930060081184,2779.9840230941772,2.3040510590664955,0.020415529858026277
SNRPC,3053.666,155.67802955475054,2897.9879455566406,2.303217143257601,0.02046172645924584
IL15RA,1193.0576,60.80398680095095,1132.2537949085236,2.302461644035729,0.020503664969878772
VAMP1,1193.1888,60.594514708267525,1132.5943318605423,2.293839678545084,0.02098811470576395
RGS9,746.06573,37.885333920829,708.1804847717285,2.293671919495386,0.02099764797303564
GMPPA,1840.3657,93.36337963648111,1747.0023453235626,2.2913277206692815,0.02113129418409375
TAPSAR1,2111.1665,107.03245030649123,2004.1338663101196,2.2897753408757113,0.02122024293595124
NBPF14,692.08826,35.06481788388919,657.0234593153,2.288204546514188,0.021310609539142447
NRBP1,2133.644,108.02678702585399,2025.6172392368317,2.2865368659078467,0.02140695077642263
PDCD1,1058.398,53.564467301739825,1004.8335667252541,2.285529277297755,0.02146535950612557
TAF2,1157.6582,58.583419635891914,1099.0747010707855,2.28534431230357,0.021476098174046214
CTDSPL2,1011.04846,51.13535716557976,959.9131566286087,2.2839862370200694,0.02155510182150718
RAB24,1115.4976,56.342388816643506,1059.1551060676575,2.2807612470304988,0.021743819600242992
POLE4,1773.1917,89.40802700875793,1683.783770084381,2.2766398073835754,0.021987284108807827
LPIN1,1652.6191,83.32736997306347,1569.291879415512,2.2766070700153915,0.021989228334240406
TTC32,437.93942,22.03253952972591,415.9069180302322,2.2712897799606506,0.022307194032354767
REPS1,443.02344,22.284603137522936,420.7388123690034,2.2708918964274893,0.022331161860697973
HEATR6,559.3728,28.095514970831573,531.2773421406746,2.267356630570261,0.02254519827036742
PIK3IP1,1801.6401,90.3412102945149,1711.2990120649338,2.2634147300205147,0.022786152998234836
SLC9A6-1,331.9002,16.63672673003748,315.26348301768303,2.2625508407212145,0.022839285578365037
SMAD3,962.7505,48.23604359384626,914.5145111875609,2.26144073580698,0.022907734269429186
CHCHD2P2,474.05234,23.729943080455996,450.32237136363983,2.2593177116510006,0.023039182502854815
SNRNP35,1985.5437,99.38628748618066,1886.1573357582092,2.259189620709482,0.0230471362087389
TRMT10C,1123.9822,56.22956127859652,1067.7526527643204,2.257866026910222,0.0231294766366038
PIK3C2A,410.97113,20.554277952760458,390.4168938584626,2.2572400966442006,0.023168512869292897
PINX1,507.766,25.39268655749038,482.3733423650265,2.2569892250151318,0.023184176079940888
CRCP,366.6621,18.33604224026203,348.3260030299425,2.256959871536365,0.023186009426428296
AAAS,758.19714,37.91502971597947,720.2820297507569,2.2569033127692184,0.02318954233707779
RNF111,733.1166,36.6198939923197,696.4967366456985,2.2542502675348373,0.023355839112392838
ITPR1,804.3292,40.14176362770377,764.1875205636024,2.25216726160154,0.023487198213780012
ZNF791,1074.7653,53.55603011182393,1021.2090994715691,2.248525588180365,0.02371853779120465
COMMD10,1944.5396,96.80807608738542,1847.731139421463,2.2463475197729497,0.02385793329517792
PRKD3,809.70654,40.266135160811245,769.4404591917992,2.243722076732435,0.024026994529127304
NABP2,1286.425,63.95891117909923,1222.4660065174103,2.2432021031128975,0.024060612053691
TP53BP1,497.70758,24.73849966027683,472.9690716830082,2.2425634918581805,0.024101960875900535
FMNL3,711.36127,35.35688974872755,676.004390835762,2.242480475759209,0.024107340956404367
GRN,1357.3342,67.43061168678105,1289.9036391973495,2.241320505049303,0.024182635309848308
RBM17,2207.7422,109.58136676251888,2098.160931825638,2.239247251570423,0.02431776766989006
TMEM167B,934.3191,46.35464778207097,887.9645227789879,2.238215010478482,0.024385314923275787
ANKDD1A,434.37296,21.545257819874678,412.82772063836455,2.2376233059124697,0.024424114821280284
SLC25A32,856.5188,42.43242150172591,814.086315870285,2.234763115925389,0.024612493715608152
FPGT,472.24127,23.38930408822489,448.85196436941624,2.234180737498788,0.02465101908551782
MT-TN,1218.4158,60.311441083133104,1158.104391336441,2.232832424938207,0.024740432026960538
FGFR1OP2,1849.2808,91.41898337006569,1757.8618693351746,2.2297479570871857,0.024946135871866323
GRIPAP1,1343.377,66.27161900838837,1277.1053162813187,2.2248718478897582,0.02527463703535333
METTL9,2111.2832,104.041927069964,2007.240876197815,2.2223529203801906,0.025445938589711958
