,TPM_p,UMI_p,TPM_logp,UMI_logp
AC021188.4,0.5836410769012143,0.8861205885986466,0.2338541498770411,0.05250717269609393
GMEB1,0.5836549200180308,0.7892817330764068,0.2338438491662327,0.10276794827270297
RBM10-1,0.5837765168335609,0.623496876357589,0.23375337905462573,0.2051657179417508
RP11-109L13.1,0.5838983808827105,0.46951742259810625,0.23366272902115542,0.3283482875345503
UGDH,0.5840367115800045,0.592900526416843,0.23355985299802498,0.22701816405910338
ZNF700,0.5841063189882889,0.7868753427979198,0.23350809544340673,0.10409406335001604
SIRT7,0.5845063215333687,0.6832478811545343,0.23321078750947535,0.16542170644001536
RP11-264L1.4,0.5845860929420548,0.40513014322945107,0.23315152053924987,0.3924054424466422
PRMT2,0.5846002232592831,0.6031467383259964,0.23314102312114798,0.21957701639624747
CCDC132,0.5846264487557895,0.5496914878512584,0.23312154086216016,0.25988098817134486
PDSS2,0.5848027964752665,0.5781133226584696,0.2329905592874169,0.23798702216546885
PPTC7,0.5850535593059258,0.3130596912760793,0.2328043741805846,0.5043728473729489
C1orf35,0.5853045270767232,0.40300712029903296,0.2326181167933257,0.39468728070935694
AMPH,0.585385979028711,0.33122553060660875,0.23255768385539521,0.4798761955156621
ABCF1,0.5854141504335499,0.5929919114781051,0.23253678415550028,0.22695123045425883
FNTB,0.5856090355706002,0.5953812922109987,0.2323922310135662,0.22520481567044223
VPS4A,0.5857288039476524,0.4725947075779471,0.23230341847172442,0.3255111461877025
KIAA1009,0.5857530730524203,0.1463428108140073,0.23228542427396534,0.83462860770573
ACTR1B,0.5858076070669676,0.42534064175232333,0.23224499304063206,0.3712631180019877
COX7A2L,0.5862031193738806,0.3809459633579646,0.23195187487189436,0.419136624008937
NDUFAF4,0.5866248117606697,0.46699842213162446,0.23163957213817982,0.3306845868015245
SKIV2L2,0.5867248204959087,0.5517475078211672,0.2315655392314186,0.2582596198191563
SLC22A18,0.5873529018422567,0.7786349067889041,0.23110088125565412,0.10866613043293041
UBL4A-1,0.5873644495607104,0.379458256695852,0.23109234284358898,0.4208359928482618
PDHA1,0.5874347181735597,0.3844537313661195,0.23104038967289223,0.41515591963755794
ABHD5,0.5875734272643732,0.6507862065990212,0.23093785320411314,0.18656166050072048
CDKN2AIP,0.5878687427003134,0.5085831753549388,0.23071963087004116,0.29363801099351705
STK16,0.5883249096574007,0.4772603771899385,0.23038276320913278,0.3212446198597396
RP11-611E13.2,0.5885041464138678,0.55089246138688,0.23025047290836526,0.2589331706299102
ABL1,0.5885695575421084,0.6249464891039899,0.23020220457651194,0.20415716742675405
RP4-734P14.4,0.5886180976383526,0.5920465152661247,0.23016638922308194,0.22764417076052
RP11-29H23.5,0.5889117714333464,0.7438841550212055,0.2299497647201464,0.1284946918093539
SYNRG,0.5890483734895904,0.5389211044592257,0.22984903886831679,0.26847480885021907
TBC1D2B,0.589445198581974,0.845227603738525,0.2295565655642607,0.073026328047123
PIGT,0.5898759222833543,0.5274800083865432,0.2292393306199485,0.27779399557896384
PER1,0.5900322037179151,0.7952210471396575,0.2291242840946218,0.09951213397335754
RNF2,0.5901734000676719,0.23900401247657896,0.22902036864860095,0.621594807914585
NOA1,0.5903715725062029,0.60424327064762,0.22887456277194715,0.2187881775556106
CFLAR-AS1,0.5905091775223403,0.6522461356906282,0.22877334831915883,0.18558848524914143
NAA15,0.5906232469018426,0.5702919790622556,0.22868946322515651,0.24390273655709793
ZFP90,0.5907247905078895,0.49475526638515843,0.22861480304629167,0.30560957428206925
ATP10D,0.5908548935404772,0.9194230216048602,0.22851916323439772,0.03648462606887053
OXSM,0.5909327454189293,0.6149576849231935,0.22846194374732265,0.21115476688573642
NOL10,0.5909395961125994,0.5186901304219553,0.22845690899296953,0.2850920156348378
STK32C,0.5914426319353991,0.4394109879171927,0.2280873741842755,0.35712908730595083
ZCCHC18-1,0.5915822661384933,0.4584229690690246,0.22798485332563745,0.33873363037307747
MCMBP,0.591613836130856,0.5760802420003106,0.22796167766869635,0.23951701964829689
RIPK1,0.5916346940469785,0.5400832496829222,0.2279463664679707,0.26753929185986147
RMDN1,0.5918395068149515,0.8583759525718668,0.22779604792992875,0.06632245764465733
GUSB,0.5920314973019438,0.6902343606311139,0.22765518729643117,0.1610034248459682
RP11-206L10.1,0.5921020071448102,0.38515794472806963,0.22760346671661827,0.4143611394333766
REEP3,0.5921238888748213,0.4528490057845205,0.22758741722026574,0.34404658139979133
HSP90AA1,0.592138584860629,0.5621263215717776,0.22757663855306265,0.2501660783865888
CD46,0.5923971765544567,0.8195747423227022,0.22738702005248604,0.08641143416408323
PI4KA,0.5924032195947135,0.7747430218766108,0.22738258983952184,0.110842326768744
DCLRE1C,0.5924585241841169,0.18547431086644775,0.227342047593736,0.7317162338739337
PIK3CG,0.5926651078625484,0.5912938127419326,0.2271906403479825,0.2281966654049118
PHF14,0.5929062122704752,0.46904414721490817,0.22701399924071122,0.32878627884247436
