,Condition,Cell_Number,Clone_ID,Day,In_Vivo_Clone_ID,Project_ID,Donor_ID,Method,Vb,D,Jb,TCR Beta,Nuc_Seq_TRB,Va,Ja,TCR Alpha,Nuc_Seq_TRA,Va2,Ja2,TCR Alpha2,Nuc_Seq_TRA_2,Notes,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,total_counts_mt,log1p_total_counts_mt,pct_counts_mt,n_counts
P1902_1172,In_Vivo,1.0,95,136.0,,P1902,,,,,,,,,,,,,,,,,1693,7.434847875211999,8638.486,9.064098,171.40903,5.14987,1.9842485,8638.486
P1902_1173,In_Vivo,1.0,176,136.0,,P1902,,,,,,,,,,,,,,,,,1676,7.424761761823209,8566.248,9.055702,162.94046,5.0995035,1.9021217,8566.248
P1902_1174,In_Vivo,1.0,107,136.0,,P1902,,,,,,,,,,,,,,,,,1858,7.527793987721444,9282.926,9.13604,195.41096,5.280209,2.105058,9282.926
P1902_1175,In_Vivo,1.0,102,136.0,,P1902,,,,,,,,,,,,,,,,,1618,7.389563953677635,8321.468,9.026714,166.55304,5.1212997,2.0014863,8321.468
P1902_1176,In_Vivo,1.0,130,136.0,,P1902,,,,,,,,,,,,,,,,,1654,7.411556287811163,8523.646,9.050716,166.58795,5.121508,1.9544212,8523.646
P1902_1177,In_Vivo,1.0,224,136.0,,P1902,,,,,,,,,,,,,,,,,1634,7.399398083331354,8357.969,9.031091,157.25806,5.064227,1.8815345,8357.969
P1902_1178,In_Vivo,1.0,108,136.0,,P1902,,,,,,,,,,,,,,,,,1725,7.453561871643373,8642.879,9.064607,171.3045,5.1492634,1.9820306,8642.879
P1902_1179,In_Vivo,1.0,0,136.0,,P1902,,,,,,,,,,,,,,,,,1907,7.553810852008231,9512.641,9.160481,160.31342,5.083349,1.6852673,9512.641
P1902_1180,In_Vivo,1.0,106,136.0,,P1902,,,,,,,,,,,,,,,,,1880,7.53955882930103,9353.678,9.143632,182.1432,5.2102685,1.9472897,9353.678
P1902_1181,In_Vivo,1.0,98,136.0,,P1902,,,,,,,,,,,,,,,,,1973,7.587817219993427,9641.295,9.173914,185.99811,5.2310987,1.9291818,9641.295
P1902_1182,In_Vivo,1.0,95,136.0,,P1902,,,,,,,,,,,,,,,,,1623,7.392647520721623,8294.63,9.023484,160.70523,5.085775,1.9374611,8294.63
P1902_1183,In_Vivo,1.0,0,136.0,,P1902,,,,,,,,,,,,,,,,,1778,7.483806687665835,8653.248,9.065805,177.97975,5.1872725,2.056797,8653.248
P1902_1184,In_Vivo,1.0,0,136.0,,P1902,,,,,,,,,,,,,,,,,1775,7.4821189235521155,8701.576,9.071374,166.38736,5.120311,1.912152,8701.576
P1902_1185,In_Vivo,1.0,112,136.0,,P1902,,,,,,,,,,,,,,,,,1632,7.398174092970465,8334.332,9.028258,188.87566,5.2463694,2.2662363,8334.332
P1902_1186,In_Vivo,1.0,93,136.0,,P1902,,,,,,,,,,,,,,,,,1574,7.362010551259734,8012.802,8.98892,177.12303,5.1824746,2.2105007,8012.802
