,Donor,Timepoint,clone_id,DonorDay,HLA Type,TRA,cloneCount_A,nSeqCDR3_A,allVHitsWithScoreA,allJHitsWithScoreA,TRA2,cloneCount_A2,nSeqCDR3_A2,allVHitsWithScoreA2,allJHitsWithScoreA2,TRB,cloneCount_B,nSeqCDR3_B,allVHitsWithScoreB,allDHitsWithScoreB,allJHitsWithScoreB,TRD,cloneCount_D,nSeqCDR3_D,TRG,cloneCount_G,nSeqCDR3_G,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,total_counts_mt,log1p_total_counts_mt,pct_counts_mt,n_counts,n_genes,is_clone0
P20407_A30_D14_p3_D6,,,B1001,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3698,8.215817791832453,18641.83,9.833217,150.4887,5.020511,0.8072635,18641.83,3698,0
P20407_A30_D14_p3_C6,,,B1503,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3040,8.019941687677365,16429.777,9.706911,142.2246,4.964414,0.86565137,16429.777,3040,0
P20407_A30_D14_p3_E6,,,B0,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,2248,7.718240951959316,12909.156,9.46577,136.79033,4.925733,1.059638,12909.156,2248,1
P20407_A30_D14_p3_L6,,,B133,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,2922,7.980365765111246,15848.289,9.67088,154.60735,5.0473356,0.97554594,15848.289,2922,0
P20407_A30_D14_p3_B6,,,B61,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3478,8.154500175151941,18141.975,9.806039,131.16078,4.8840194,0.72296864,18141.975,3478,0
P20407_A30_D14_p3_K6,,,B124,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3581,8.183676582620658,18544.152,9.827964,146.43086,4.9933596,0.7896336,18544.152,3581,0
P20407_A30_D14_p3_I6,,,B1523,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,4929,8.503094267036737,23138.432,10.0492935,148.4905,5.0072327,0.6417483,23138.432,4929,0
P20407_A30_D14_p3_J6,,,B327,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3444,8.144679183447758,17676.178,9.780029,109.970825,4.709267,0.6221415,17676.178,3444,0
P20407_A30_D14_p3_P6,,,B433,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,4605,8.43511508038063,21716.602,9.985878,138.31053,4.9367056,0.6368885,21716.602,4605,0
P20407_A30_D14_p3_M6,,,B1135,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3718,8.22121009392507,18954.83,9.849867,137.85934,4.9334617,0.7273046,18954.83,3718,0
P20407_A30_D14_p3_G6,,,B720,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,2729,7.912056888179006,14668.552,9.59353,146.94806,4.9968615,1.0017898,14668.552,2729,0
P20407_A30_D14_p3_F22,,,B98,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3625,8.195885391314796,18446.998,9.822711,152.68726,5.0349197,0.8277079,18446.998,3625,0
P20407_A30_D14_p3_N22,,,B403,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,2892,7.970049304976135,15590.682,9.654492,124.61712,4.8332386,0.7993052,15590.682,2892,0
P20407_A30_D14_p3_O22,,,B368,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,2795,7.935945103353701,15093.554,9.622089,162.14746,5.0946546,1.0742829,15093.554,2795,0
P20407_A30_D14_p3_H22,,,B88,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3070,8.029758520440822,16402.066,9.705224,120.41664,4.7992277,0.7341553,16402.066,3070,0
P20407_A30_D14_p3_D22,,,B121,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,2638,7.878155336503324,14572.631,9.586969,136.26497,4.921913,0.93507457,14572.631,2638,0
P20407_A30_D14_p3_C22,,,B205,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3429,8.140315540159985,17919.295,9.793689,128.39355,4.862859,0.7165101,17919.295,3429,0
P20407_A30_D14_p3_E22,,,B607,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3189,8.06777619577889,16875.346,9.733668,134.84825,4.9115386,0.79908437,16875.346,3189,0
P20407_A30_D14_p3_L22,,,B168,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,2991,8.003697339094368,16234.595,9.694962,127.67444,4.8572855,0.7864344,16234.595,2991,0
P20407_A30_D14_p3_B22,,,B235,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,5964,8.693664334532016,26179.916,10.172786,137.53258,4.9311056,0.5253362,26179.916,5964,0
P20407_A30_D14_p3_K22,,,B304,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3642,8.200562797008564,18581.69,9.829986,142.37451,4.9654603,0.76620865,18581.69,3642,0
