,TPM_p,UMI_p,TPM_logp,UMI_logp
OSTC,0.6162956201271126,0.6821084254667318,0.21021091869052455,0.1661465859898752
NBEAL2,0.6163260121900127,0.6803248873666033,0.21018950237773595,0.16728364156583647
MRPS31,0.6164548528497642,0.8744618301603979,0.21009872422021356,0.0582591425174911
ZNF169,0.6165118990319944,0.5805718285123809,0.2100585368556539,0.23614404156402835
DUS4L,0.6166483046282594,0.6073294441468089,0.20996245818262443,0.21657566318749327
U2AF2,0.6166940300958517,0.7049822313862762,0.20993025573938096,0.15182182897759286
PNKD,0.6168050155440787,0.3847565452785279,0.20985210348131958,0.41481398344146403
MLX,0.6169557771786975,0.8108940313398758,0.20974596467919562,0.09103589623433896
RP11-574K11.31,0.616988707841184,0.7234379286849848,0.20972278437379244,0.14059872561755465
GBAS,0.6172581657893368,0.5052535847073686,0.20953315601929196,0.2964905965398099
TIPIN,0.6174240986280821,0.36459392752869996,0.20941642361170124,0.438190568985319
NDUFAF7,0.6174753587885943,0.5196581083727956,0.2093803688467064,0.28428229190492377
EIF5,0.6176396151351132,0.12347583931347449,0.2092648563206058,0.9084180130872751
ASCC3,0.6179333556894079,0.7936887287806286,0.2090583611847344,0.10034978709153519
ABCC10,0.6181228533182579,0.8247598160019565,0.20892519931945944,0.0836725069313116
SYNRG,0.618125168727694,0.6178855346402492,0.20892357251072283,0.2090919719636945
SF3A2,0.6181520279880165,0.7795409811693069,0.20890470161578292,0.10816104862413495
GS1-184P14.2,0.6182292661568747,0.902117176559396,0.20885043985894478,0.04473704801459876
COQ5,0.6184142716868988,0.6338369295182704,0.20872049638056692,0.19802246091919215
AC007050.17,0.6187802744750267,0.6509106111255274,0.20846353922475774,0.18647864854461174
MARCH2,0.6190098823760066,0.531862128942322,0.20830241749505454,0.2742009323658604
ZDHHC13,0.6191668868854937,0.4948188377474253,0.20819227782168578,0.30555377514229337
DENND1C,0.619322676733646,0.32644700666297916,0.2080830178428641,0.4861873092794925
ARHGAP30,0.6194969738183823,0.4314316493568573,0.20796081076844686,0.365087998693691
BMS1P20,0.6196464840042648,0.6214148856478142,0.20785601023284742,0.20661834767377874
RP11-667K14.5,0.6197881311317825,0.5574717491841412,0.20775674470423464,0.2537771363234106
PANK3,0.6198089105637385,0.5323013787358091,0.20774218450066387,0.27384240894169487
OGG1,0.6204728095953549,0.5810962405725666,0.20727724543267104,0.23575193423920102
C9orf114,0.6204734734962511,0.6120381190251682,0.2072767807413307,0.21322152823558438
RP11-407N17.3,0.6207707140199346,0.6532965948998124,0.20706877989347236,0.18488960542579394
SNX13,0.6208629300732542,0.9618500833370848,0.20700426984517625,0.01689261304861361
UHMK1,0.6209856500348494,0.6051428084895887,0.20691843554433254,0.21814212349593126
PLD2,0.6209900208896943,0.6307224597131087,0.20691537874026655,0.20016170372081318
ATG7,0.6211358060372987,0.6735262694127635,0.20681343466332008,0.1716454609083033
PIK3C2B,0.6215312717309511,0.7511816661889417,0.20653701537547386,0.12425502027621095
ZNF140,0.6215425851525935,0.7659394156768417,0.20652911020304396,0.11580558086061006
NOP9,0.6215541924996866,0.5517825079606149,0.20652099980185426,0.2582320711938979
CCNL2,0.6217334136505503,0.6762079075215875,0.20639579183385945,0.16991975493536174
RP1-39G22.7,0.6217395965145847,0.5946794291756132,0.20639147298864038,0.2257170841172251
C7orf43,0.6218029615450451,0.7340610429970847,0.20634721381484683,0.134267823551944
CHMP2B,0.6218239191683457,0.6262194865871046,0.20633257633748886,0.20327342221004016
ZNF277,0.6219884333461778,0.6835719184290394,0.20621769148383784,0.16521578667952036
YWHAE,0.6225594491852963,0.24213422999256745,0.20581917078585474,0.6159438109462958
C19orf60,0.6227268042892227,0.6368973913565694,0.2057024403579899,0.19593052992069343
RALY,0.622752682534671,0.2519018018734783,0.20568439304477432,0.5987687259480564
ZCCHC18-1,0.622902695308974,0.5367912306180618,0.2055797899232873,0.27019458770734744
SMIM4,0.6232600200582976,0.3851448287029874,0.2053307306805125,0.4143759289876006
RNF25,0.6233802530221266,0.7224824000720884,0.20524695910017252,0.14117272801040825
FAS,0.6234212806585664,0.4958653266874371,0.20521837704338733,0.30463625862718474
USP25,0.623422727571977,0.8713253544594619,0.20521736908007213,0.059819648365067785
RNF41,0.6235743148370974,0.3393402271922377,0.2051117817998238,0.46936465372932795
ZNF775,0.6237570101461873,0.8405727930126136,0.20498456048567001,0.07542467099928504
RP11-705C15.3,0.6240560429364559,0.6516871982758481,0.20477640704010852,0.1859608101886343
KMT2B,0.6244937696645401,0.4834858189942548,0.20447189005815308,0.3156162595806946
MCM7,0.6245437046055448,0.144925913306897,0.20443716496816855,0.838853954073314
SLC7A6OS,0.6247006183123224,0.6870242542975242,0.20432806420045366,0.16302793059453885
SLAIN2,0.6248661200825836,0.5749604397736422,0.20421302191614593,0.24036203596960368
RRN3P2,0.6248700369576426,0.2743777001560913,0.20421029961797943,0.5616511884926348
CBX1,0.624904707256528,0.6144515172010642,0.2041862038846236,0.2115123790797551
EDEM2,0.6249312322724809,0.5722841098895043,0.20416776999630573,0.24238831259783333
NOD1,0.6250574745286732,0.6543439513293614,0.20408004709907404,0.18419390779463882
APOBEC2,0.6252394019969909,0.7038289078201312,0.20395366096208847,0.15253289969329298
RPL36A-HNRNPH2-1,0.6252955928655783,0.4890820089315684,0.2039146322515325,0.3106183125732208
ANO10,0.6253511748078973,0.7126395564699732,0.20387602993554305,0.14713007494059885
NQO1,0.6253893647034114,0.4559990156041813,0.20384950859020007,0.3410360948753315
NPIPA8,0.6254502319846145,0.11674679709809624,0.20380724206066936,0.9327550252946426
ZNF689,0.6255004077591562,0.6820218340370436,0.20377240285706205,0.16620172175111528
ZFAND2B,0.6256681852928807,0.4865477723474828,0.20365592797441986,0.3128745115141969
UGDH,0.6256874893322908,0.6203351416038845,0.20364252868600827,0.2073736156231068
SMYD2,0.6257081729626157,0.3936025995991784,0.20362817225696297,0.4049420418772559
RP11-62C7.2,0.6257474099986644,0.4297697939173484,0.20360093928364809,0.36676411186926466
SCYL1,0.6258508103924096,0.6189506924674874,0.2035291810791369,0.2083439468477597
PCBD2,0.6258906901007848,0.5878803127212662,0.2035015083730929,0.23071108347426436
DNAJC17,0.6259561665068718,0.623412239475168,0.20345607782903827,0.2052246754561208
SLC35E2B,0.625990820842047,0.22323231508197972,0.20343203497946627,0.6512429367687866
TMEM128,0.6260413408476584,0.8441851177138129,0.20339698706241433,0.0735623083670408
ZNF496,0.6261686988956665,0.4818087449875227,0.2033086458162797,0.3171253216781515
